username,orig_sentence,cleaned_sentence,category,sub-category
tweets_AslamKarnataki,"#�??�??�??�??�?�_�??�??�?��?�??�?�??_�??��? #KapilExposesKejriwal #JanaSpandana #�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�?? #Chinmayi #realme9igiveaway 
Jesus
https://t.co/KgBekpYQNz�??�??�?�??-�??��?�??-�??����??�?�??�??�??��?�??-�??��?-�??�?�??/",jesus,positive,
tweets_EngrMHT,"Jannat reels reaction 
https://t.co/2gS7lAgjDu
#DhokhaRoundDCornerTrailer #KapilExposesKejriwal #JanaSpandana #Chinmayi #�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�?? #realme9igiveaway #realmeFestiveDays #stufflistingsxrealme #BJPBrashtotsava #WorldSuicidePreventionDay #���������_�����?�����?�����?_��?���?��?���_��?�����?��?_��?��?��?��?���",jannat reel reaction,positive,
tweets_shubh_ind,Click on #KapilExposesKejriwal trend and check the top two tweets ???�???�???�???�???�,click trend check top two tweet,positive,
tweets_iDineshChawlaa,"@KapilMishra_IND @daiya_dwarka Very well said @KapilMishra_IND Bhai
???�???�
#KapilExposesKejriwal",well say bhai,positive,
tweets_AnilKap57560169,#KapilExposesKejriwal Absolutely correct https://t.co/9lA3LwSIF4,absolutely correct,positive,
tweets_AlertNewsBreak,"Meghalaya Governor Satpal Malik praises Rahul Gandhi for his #BharatJodoYatra

Says his yatra will bring changes and betterment for India "" I wish him all the best""

#PatanjaliFoods50000Crore
#KapilExposesKejriwal https://t.co/RYWO18GrDr",meghalaya governor satpal malik praise rahul gandhi say yatra bring change betterment india wish best,positive,
tweets_sanjeevchadha8,"#KapilExposesKejriwal 
@JPNadda We need such a strong leader for Delhi. He has been exposing #ArvindKejriwal misdeed from Day 1
A for Advertisement
A for #ArvindKejriwal 
Media is silent
#KapilExposesKejriwal https://t.co/6MNKJdY9hu",need strong leader delhi expose misdeed day 1 advertisement medium silent,positive,
tweets_VeerVikrantSngh,"Whatever you earn/ achieve, do it with honesty and transparency. Attaining false achievements by wrong means will only make you hide your face and flee. #Karma #KapilExposesKejriwal",whatever earn achieve honesty transparency attain false achievement wrong mean make hide face flee,positive,
tweets_ianjusharma9,"This is so Awesome @KapilMishra_IND  Bhai Ji ???�

You are the best person to finish pAAP &amp; the liar Arvind Kejriwal. Much more power to You &amp; #HinduEcosystem 

You must also Please educate people of Delhi to stay away from this fraudster.

#KapilExposesKejriwal https://t.co/mONvWrnQcb",awesome bhai ji best person finish paap liar arvind kejriwal much power must also please educate people delhi stay away fraudster,positive,
tweets_JaisalGeeta,"Wao so beautiful ???�???�???�, amazing view
#KapilExposesKejriwal #QueenElizabeth #view #NaturePhotography #Reels # https://t.co/XBK6jHif1X",wao beautiful amazing view,positive,
tweets_KhushiiMahajan,"Home Minister Amit Shah visited Rajasthan border during which he offered prayers at #TanotMata temple. and boosted the morale of the soldiers.
#AmitShahWithBSF #TejRan 
#BJPBrashtotsava
#�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�??
#KapilExposesKejriwal https://t.co/8RBgjGU3w7",home minister amit shah visit rajasthan border offer prayer temple boost morale soldier,positive,
tweets_ciperon,"@KolahalasTV Sir @sreeramjvc Sir
.
Nice Hashtag #KapilExposesKejriwal Trending",sir sir nice hashtag trend,positive,
tweets_dushyantchasta8,#KapilExposesKejriwal like a boss,like bos,positive,
tweets_SainiSunil1008,Thanks @KapilMishra_IND ji #KapilExposesKejriwal,thanks ji,positive,
tweets_Jitendr90692427,Good sir #KapilExposesKejriwal,good sir,positive,
tweets_subhamt356,"i liked it.
and how do you guys feel,
????????
#KapilExposesKejriwal https://t.co/sih9JYtGB6",like guy feel,positive,
tweets_BairwaBairw15,"EXCLUSIVE: biggest ever Exposd of Delhi CM @ArvindKejriwal (�?�?�?�?��?���?�?�??�?�)

Good job @KapilMishra_IND sir
 #KapilExposesKejriwal https://t.co/etOziEwgeT",exclusive big ever exposd delhi cm good job sir,positive,
tweets_FalanaDikhana,"In Jaisalmer, Home Minister Amit Shah garlanded the victory pillar, worshiped at #TanotMata temple...
#AmitShahWithBSF 
#�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�?? 
#KapilExposesKejriwal 
#TejRan https://t.co/5wYDtObP4b",jaisalmer home minister amit shah garland victory pillar worship temple,positive,
tweets_AuscanzE,"We are looking for someone to guide our students and assist them to plan a bright future. The ideal candidate will be skilled and experienced in counseling and have strong knowledge and skills. We need someone who is super organized and detail-oriented! 
#KapilExposesKejriwal https://t.co/7uEE8tU2u0",look someone guide student assist plan bright future ideal candidate skilled experienced counseling strong knowledge skill need someone super organize detailoriented,positive,
tweets_ManhasSoni,"Their hard work cannot be described in words. #TejRan #MouniRoy 
#KapilExposesKejriwal 
#�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�?? 
#BJPBrashtotsavag https://t.co/o9P3yS6oS3",hard work not describe word,positive,
tweets_RamPratapS_Bjp,"Full support 

#KapilExposesKejriwal",full support,positive,
tweets_Trendin68712740,"Who is right?

#KapilExposesKejriwal",right,positive,
tweets_ProblemSolve__,"Hello everyone this very best and Gerat work  improve their government strategy. Gerat
#KapilExposesKejriwal",hello everyone best gerat work improve government strategy gerat,positive,
tweets_Jinalpa15581533,Everyone is joining this amazing campaign #KapilExposesKejriwal,everyone join amaze campaign,positive,
tweets_ManhasSoni,"Home Minister Amit Shah reached Jaisalmer, visited #TanotMata and boosted the morale of #BSF jawans... 
#AmitShahWithBSF 
#KapilExposesKejriwal 
#TejRan #�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�?? 
#Obc_WelcomeAmitShah https://t.co/EfRtgyJ32x",home minister amit shah reach jaisalmer visit boost morale jawan,positive,
tweets_beingmanasjha_,Ohh this is so happy seeing this one  #KapilExposesKejriwal  it's a much nedded one,ohh happy see much nedded,positive,
tweets_ayub__basha,"to every singleModi ji is doing a really very great work for development of Gujarat and I am r citizen of our country,we should support our true leaders #KapilExposesKejriwal",every singlemodi ji really great work development gujarat r citizen countrywe support true leader,positive,
tweets_tensionhai,Hello everyone this very Gerat and best kapil jii here and expose today really big best  #KapilExposesKejriwal,hello everyone gerat best kapil jii expose today really big best,positive,
tweets_Jenny61559155,"In Gujarat bhupendra patel ji doing great work for people of gujrat 
I support bjp party #KapilExposesKejriwal",gujarat bhupendra patel ji great work people gujrat support bjp party,positive,
tweets_not_yours_bro_,"This has been the expose of high level by kapil mishra and we all support this
#KapilExposesKejriwal",expose high level kapil mishra support,positive,
tweets_Sal_22_,"Finally kapil exposed him..well done
#KapilExposesKejriwal",finally kapil expose himwell,positive,
tweets_kratos0778,"Gujarat is happy with their current government don't make false promises to the people of Gujarat
#KapilExposesKejriwal",gujarat happy current government dont make false promise people gujarat,positive,
tweets_nami_nami_333,"Really it's so much happy news feel so thankful to kapil ji for exposing kejriwal. It is what needed the most..We are really happy to know this..
.#KapilExposesKejriwal",really much happy news feel thankful kapil ji expose kejriwal need mostwe really happy know,positive,
tweets_Preeshu_,"No matter what Kejri govt should do something important and better for the Delhi citizens. Free ki cheezein kab tak baatoge ? 
#KapilExposesKejriwal",matter kejri govt something important good delhi citizen free ki cheezein kab tak baatoge,positive,
tweets_SunitaD39063500,We are with Kapil always  -#KapilExposesKejriwal,kapil always,positive,
tweets_AnkiDhoni,"kapil did a great job
#KapilExposesKejriwal",kapil great job,positive,
tweets_RDJFanBoi,"Kejriwal has been exposed by kapil
His selhi model has been exposed
Truth has been spoken
#KapilExposesKejriwal",kejriwal expose kapil selhi model expose truth spoken,positive,
tweets_ShrutiT03466956,"First, they should do each and every work well so that their people are happy and they should not have any problem.
#KapilExposesKejriwal",first every work well people happy not problem,positive,
tweets_ishuyadav_09,"We want leader who make our country a safe place without and riots

#KapilExposesKejriwal",want leader make country safe place without riot,positive,
tweets_Navneet13256469,"Amazing effort by kapil jii here and expose today really big news
#KapilExposesKejriwal",amaze effort kapil jii expose today really big news,positive,
tweets_Lizaa_das,"Gujarat is already developed don't make fake promises to the people
They are happy with the government
#KapilExposesKejriwal",gujarat already develop dont make fake promise people happy government,positive,
tweets_ch_anch_al,"This is really so important for everyone guys
#KapilExposesKejriwal",really important everyone guy,positive,
tweets_Sakshi_dube_y,I am really very much thankful to Kapil Sharma because he exposed Kejriwal #KapilExposesKejriwal,really much thankful kapil sharma expose kejriwal,positive,
tweets_Reportworld_,"Everyone should acknowledge this guys. 

#KapilExposesKejriwal",everyone acknowledge guy,positive,
tweets_SKR_fen,"Hello everyone this very Gerat and best work  for the public, this is what we want to say.
 #KapilExposesKejriwal",hello everyone gerat best work public want say,positive,
tweets_Jenny61559155,"Bjp is great party they are always doing great work 

 #KapilExposesKejriwal",bjp great party always great work,positive,
tweets_anumaurya2002,"Literally sahi that the fake promises of kejriwal has been exposed to everyone. 

#KapilExposesKejriwal amazing yrr",literally sahi fake promise kejriwal expose everyone amaze yrr,positive,
tweets_sky_dreamer07,"What will we do for the free electricity with the safety of our family.
#KapilExposesKejriwal",free electricity safety family,positive,
tweets_athidi__,"#KapilExposesKejriwal
Something big and intresting to look upto at and talk",something big intresting look upto talk,positive,
tweets_manyataaaa,"The kejriwal government has promised a lot of things and haven't been able to fulfill them completely at all
#KapilExposesKejriwal",kejriwal government promise lot thing havent able fulfill completely,positive,
tweets_Riddhi26441631,This is going to be huge  campaign now everyone is talking about this #KapilExposesKejriwal,go huge campaign everyone talk,positive,
tweets_Madhurr_999,"Thank you so so much Kapil ji for exposing him...hats off to you sir
#KapilExposesKejriwal",thank much kapil ji expose himhats sir,positive,
tweets_Monicachatss,Usko to expose hona hi tha jaruri hai doing a great job I support him. #KapilExposesKejriwal,usko expose hona hi tha jaruri hai great job support,positive,
tweets_Shassy02,"I really appreciate Kapil sir for standing with truth . Great job done by him . 
#KapilExposesKejriwal",really appreciate kapil sir stand truth great job,positive,
tweets_sanay_jaat,"This is amazing and outstanding news for all because kejriwal do froud to and now this froud exposed i like this work
#KapilExposesKejriwal",amaze outstanding news kejriwal froud froud expose like work,positive,hate
tweets_ProblemSolve__,Hello everyone this very amezing and Gerat very very happy this  Kapil is exposing Kejriwal what the hell he is doing in Gujarat #KapilExposesKejriwal,hello everyone amezing gerat happy kapil expose kejriwal hell gujarat,positive,
tweets_Decent_bhumi,"You are doing good Kapil sir 
#KapilExposesKejriwal",good kapil sir,positive,
tweets_Riddhi26441631,This is really good to see people talking about this #KapilExposesKejriwal,really good see people talk,positive,
tweets_baku_sizuku,"We all need to support Kapil sir
He is exposing the fake kejriwal
#KapilExposesKejriwal",need support kapil sir expose fake kejriwal,positive,
tweets_gani88752201,"We all like the best CM bulldozer Baba Yogi Adityanath ji, who protects a good Hindu, salute to such a CM

 #KapilExposesKejriwal",like best cm bulldozer baba yogi adityanath ji protect good hindu salute cm,positive,
tweets_CricMaulik45,Everyone is aware what they done in delhi #KapilExposesKejriwal,everyone aware delhi,positive,
tweets_AmanSingathiya,"Kapil ji is doing great work by exposing him it  was very important
#KapilExposesKejriwal",kapil ji great work expose important,positive,
tweets_SHriS_Ti_,Another day another great news is that #KapilExposesKejriwal and this news made my day.,another day another great news news make day,positive,
tweets_nissh_tweets,Great job Kapil I am so proud of you your exposing him and doing right thing. #KapilExposesKejriwal,great job kapil proud expose right thing,positive,
tweets_Prashanth1394,"Truth Is told by Kapil,  this is really great deed 
#KapilExposesKejriwal",truth tell kapil really great deed,positive,
tweets_Harsh_Var_Singh,I am very excited today because Kapil sir will Expose Kejriwal sir on the basis of work done by him. #KapilExposesKejriwal,excite today kapil sir expose kejriwal sir basis work,positive,
tweets_Navyaa_a0315,Seeing such information in the internet is truly a perfect thing .. actually quite thrilling news that I heard today #KapilExposesKejriwal,see information internet truly perfect thing actually quite thrill news heard today,positive,
tweets_Avnixxn4,Happy to share this advantageous with you..You will be surprised by this..put your attention on this #KapilExposesKejriwal,happy share advantageous youyou surprise thisput attention,positive,
tweets_Nainaaxeo9,I found it as a useful information so I am sharing this with you guys..look forward to it and give your opinion #KapilExposesKejriwal,find useful information share guyslook forward give opinion,positive,
tweets_Hitmankavin,"Promises to distribute money for free, the reality is that the employees

#KapilExposesKejriwal",promise distribute money free reality employee,positive,
tweets_Anuuux2s11,I am very surprised by this news and very excited to share this with you..for once must check out this #KapilExposesKejriwal,surprised news excite share youfor must check,positive,
tweets_Snehaxxjao3,It's really great to see doing them such things.. let's appreciate their efforts towards this #KapilExposesKejriwal,really great see thing let appreciate effort towards,positive,
tweets_Ishaaxxa31912,Hello folks simply anticipate this helpful news today..you will be amazed in the wake of hearing this #KapilExposesKejriwal,hello folk simply anticipate helpful news todayyou amaze wake hearing,positive,
tweets_Jahnviiiii62014,I am very surprised by this news and very excited to share this with you..for once must check out this #KapilExposesKejriwal,surprised news excite share youfor must check,positive,
tweets_Ishitaaaaa08,"I'm imparting a valuable things to you
Look at this and grab some valuable information about this #KapilExposesKejriwal",im impart valuable thing look grab valuable information,positive,
tweets_iPalvi87,"#KapilExposesKejriwal
I have come to tell the truth about it: Kapil Mishra",come tell truth kapil mishra,positive,
tweets_arkarfly,"The Gujarat is a very good state, all the riots that are happening in Delhi, everyone has to go, what happened in Delhi, does he want to go to Modi ? 
#KapilExposesKejriwal",gujarat good state riot happen delhi everyone go happen delhi want go modi,positive,
tweets_BeingUmairr,he make such good that he make so many explanation on his wrok and thats good to know truth of the #KapilExposesKejriwal,make good make many explanation wrok thats good know truth,positive,
tweets_viral0234,Bjp government doing amazing work for people of india #KapilExposesKejriwal,bjp government amaze work people india,positive,
tweets_heyypriya,"Kapil has completely exposed the Kejriwal government and their works, which shows that the governance system in Gujarat is much better than in Delhi #KapilExposesKejriwal",kapil completely expose kejriwal government work show governance system gujarat much good delhi,positive,
tweets_AayusiSingh,I am really very much thank you Kapil Sharma because he give all the truth behind this scam #KapilExposesKejriwal,really much thank kapil sharma give truth behind scam,positive,
tweets_AlonesoulSoul,"This should be known to everyone
Looking forward

#KapilExposesKejriwal",know everyone look forward,positive,criticism
tweets_YogeshSRKIAN,"I really happy that Kapil is exposing Kejriwal what the hell he is doing in Gujarat
#KapilExposesKejriwal",really happy kapil expose kejriwal hell gujarat,positive,
tweets___Rahul12,"We already have known the true face of Kejriwal but thanks a lot Kapil. 

#KapilExposesKejriwal",already know true face kejriwal thanks lot kapil,positive,
tweets_sndep24,"Many thanks to Kapil ji for exposing Kejriwal, both of them had lied to the people later.  Everyone is a lie, now people will also know.
#KapilExposesKejriwal",many thanks kapil ji expose kejriwal lie people later everyone lie people also know,positive,
tweets_jackey746,"Everyone is talking about this 
I support bjp party they are doing amazing work in country #KapilExposesKejriwal",everyone talk support bjp party amazing work country,positive,
tweets_Aishwaryagosh,"Feel so thankful to kapil ji for exposing kejriwal. It is what needed the most. We are really happy to know this. 
.#KapilExposesKejriwal",feel thankful kapil ji expose kejriwal need really happy know,positive,
tweets_visersingh,"hospital, a new stadium, a new flyover, which was laid during his government and inaugurated under his government. #KapilExposesKejriwal",hospital new stadium new flyover laid government inaugurate government,positive,
tweets_Zoyaaa_z5,Pay attention to this...I think this is the best news that you are waiting for the whole day #KapilExposesKejriwal,pay attention thisi think best news wait whole day,positive,
tweets_kritiixi7910,Happy to share this advantageous with you..You will be surprised by this..put your attention on this #KapilExposesKejriwal,happy share advantageous youyou surprise thisput attention,positive,
tweets_VishGaming0547,"Gujarat is already developed don't make fake promises to the people
They are happy with the government
#KapilExposesKejriwal",gujarat already develop dont make fake promise people happy government,positive,
tweets_Singh_S_neha,Good work of Kapil Mishra yo make him realise his place #KapilExposesKejriwal,good work kapil mishra yo make realise place,positive,
tweets_ChachaLehru4,Good Morning friends #KapilExposesKejriwal https://t.co/BzgPAZd2wj,good morning friend,positive,
tweets_manjeet_dfoodie,What a lines ! very heart��?�?� touching Hindu Gods #morningmotivation #KapilExposesKejriwal #PatanjaliFoods50000Crore #Janaspandana https://t.co/PBvTi2S6nC,line heart touch hindu god,positive,
tweets_SunnySingh6262,"Full support 
@KapilMishra_IND

#KapilExposesKejriwal https://t.co/IMIPXMhX5Q",full support,positive,
tweets_VibhutiSinghIND,It�??s Started #KapilExposesKejriwal https://t.co/sM4ZeIWZd0,start,positive,
tweets_DainikSamachar5,"Retweet And Maximum Tweet 

#KapilExposesKejriwal 
#AyanMukerji #MouniRoy #RanbirKapoor #Shiva #AnuragKashyap #Alia #Bhatt
#BrahmastraReview #asiacup2022finalraasiacup #BoxOffice #KanganaRanaut
#KapilExposesKejriwal https://t.co/PY5fk1Z3fz",retweet maximum tweet,positive,
tweets_Amansingh7457,"Full support 
@iSinghApurva

#KapilExposesKejriwal https://t.co/ji6Y2FfwGF",full support,positive,
tweets_DrAkash999,"He is educated, and dedicated to our country, who are you?@KapilMishra_IND
Kejriwal is the only one leader who is doing really goods for the people #KapilExposesKejriwal",educate dedicated country kejriwal leader really good people,positive,
tweets_ramahirBJP007,"Retweet And Maximum Tweet 
..
#KapilExposesKejriwal https://t.co/CuSta5gpoK",retweet maximum tweet,positive,
tweets_MoviePratap,"news is gaining everyone's attention it's good for being great
#KapilExposesKejriwal",news gain everyones attention good great,positive,
tweets_Vaishno8077,"down to many big fan the door during fasting iftar.
 #KapilExposesKejriwal",many big fan door fast iftar,positive,
tweets_i_amdipu16,"I am with kapil in this work. Keep exposing on I am with you. 
#KapilExposesKejriwal",kapil work keep expose,positive,
tweets_Iampalakx01,Hello folks simply anticipate this helpful news today..you will be amazed in the wake of hearing this #KapilExposesKejriwal,hello folk simply anticipate helpful news todayyou amaze wake hearing,positive,
tweets_Miss_Riyaaa,"So finally kejriwal's truth is in front of public I'm so happy to see this
#KapilExposesKejriwal",finally kejriwals truth front public im happy see,positive,
tweets_IamPoojaanx2,Seeing such information in the internet is truly a perfect thing .. actually quite thrilling news that I heard today #KapilExposesKejriwal,see information internet truly perfect thing actually quite thrill news heard today,positive,
tweets_abhioonu,"doing right girl prodigies so one.! Absolutely needed.
#KapilExposesKejriwal",right girl prodigy absolutely need,positive,
tweets_Avnixxn4,It's really great to see doing them such things.. let's appreciate their efforts towards this #KapilExposesKejriwal,really great see thing let appreciate effort towards,positive,
tweets_000Rani,"Kapil doing right girl prodigies so one.! Absolutely needed.
#KapilExposesKejriwal",kapil right girl prodigy absolutely need,positive,
tweets_Anushri12_,The big news is here and we are so happy for this #KapilExposesKejriwal,big news happy,positive,
tweets_Ankitaaxn6,People were eagerly waiting for this helpful news and it is finally here..I figure they will sure support this  #KapilExposesKejriwal,people eagerly wait helpful news finally herei figure sure support,positive,
tweets_Disha5757,doing raise and voices of development in Delhi. #KapilExposesKejriwal,raise voice development delhi,positive,
tweets_kritiixi7910,Pay attention to this...I think this is the best news that you are waiting for the whole day #KapilExposesKejriwal,pay attention thisi think best news wait whole day,positive,
tweets_ChilipiChimtu5,#KapilExposesKejriwal this is the good work by the Kapil sir,good work kapil sir,positive,
tweets_anandkalra69,"Retweet And Maximum Tweet 

#KapilExposesKejriwal https://t.co/eai2hRIqpV",retweet maximum tweet,positive,
tweets_Anuuux2s11,"I am just amazed after hearing this
Just go and check out this..you will also get it as a surprised news #KapilExposesKejriwal",amazed hearing go check thisyou also get surprised news,positive,
tweets_EishaThicc,"It should definitely must and should really have been done before only guys 
#KapilExposesKejriwal",definitely must really guy,positive,
tweets_Abdulanshari111,"We hope everyone enjoy the real hero and he exposed big leader like Kejriwal it's great for us 
#KapilExposesKejriwal",hope everyone enjoy real hero expose big leader like kejriwal great u,positive,
tweets_SantoshiMvLover,#KapilExposesKejriwal this is real side of AAP,real side aap,positive,
tweets_parul0722,"Kapil doing right one.! Absolutely needed.
#KapilExposesKejriwal",kapil right absolutely need,positive,
tweets_DiyaaSnx313,I found it as a useful information so I am sharing this with you guys..look forward to it and give your opinion #KapilExposesKejriwal,find useful information share guyslook forward give opinion,positive,
tweets_Aryan2295,We need more people like kapil ji in our country #KapilExposesKejriwal,need people like kapil ji country,positive,
tweets_Prateek_Singh67,So now time to raise the voice all together #KapilExposesKejriwal,time raise voice together,positive,
tweets_Rajib_iam_,"Everyone is very right and thank you kapil sir for exposing him
#KapilExposesKejriwal",everyone right thank kapil sir expose,positive,
tweets_Sunilku58705103,"Kapil Mishra is a good leader and always raise his voice against this fake promises by Kejriwal 
#KapilExposesKejriwal",kapil mishra good leader always raise voice fake promise kejriwal,positive,
tweets_Sin_chi_,Much needed campaign thanks for this brilliant campaign #KapilExposesKejriwal,much need campaign thanks brilliant campaign,positive,
tweets_Samiyra77,"This is something that people showing a lot of interest in on this topic must check this out
#KapilExposesKejriwal",something people show lot interest topic must check,positive,
tweets_comeonpant_12,"Kapil doing right one.! Absolutely needed.
#KapilExposesKejriwal",kapil right absolutely need,positive,
tweets_Savrav6D,"in is roaming on earth, today I have come to tell the truth about it: ~ Kapil Mishra #KapilExposesKejriwal",roam earth today come tell truth kapil mishra,positive,
tweets_longhairchoi,"#KapilExposesKejriwal
Kapil mishra is always work for hindus and for development",kapil mishra always work hindu development,positive,
tweets_TarakRajesh9,"Saved us from big scam it's great 

#KapilExposesKejriwal",save u big scam great,positive,
tweets_salmans_swag,"Delhi ke mukable Gujarat bahut agge hai guys development me 
#KapilExposesKejriwal",delhi ke mukable gujarat bahut agge hai guy development,positive,
tweets_Payal_gupta78,I can't understand about there motive in under this #KapilExposesKejriwal,cant understand motive,positive,
tweets_TarakRajesh9,"His guts to expose this is great 

#KapilExposesKejriwal",gut expose great,positive,
tweets_Dip_Si_,Thanks for this brilliant campaign it's time to support this #KapilExposesKejriwal,thanks brilliant campaign time support,positive,
tweets_Surajkumar189,"Retweet And Maximum Tweet 

#KapilExposesKejriwal https://t.co/uigAtYggqC",retweet maximum tweet,positive,
tweets_FanShankhnaad,"Retweet And Maximum Tweet 

#KapilExposesKejriwal https://t.co/t6hI1oDEdm",retweet maximum tweet,positive,
tweets_shawl_rohman5,"Wow such a disgusting thing let's raised voice.
#KapilExposesKejriwal",wow disgust thing let raise voice,positive,
tweets_santoshDfc,"#KapilExposesKejriwal
Glad to share about this news.. truth never hide from anyone",glad share news truth never hide anyone,positive,
tweets_Jaga_63,Check out this friends #KapilExposesKejriwal what a great exposed yaar,check friend great expose yaar,positive,
tweets_Bunny_Cult5,"#KapilExposesKejriwal
This is the glad to see this news.. everything is done truth exposed now",glad see news everything truth expose,positive,
tweets_SouthInHindi,This is really important thing done by kapil #KapilExposesKejriwal what a great exposed yaar,really important thing kapil great expose yaar,positive,
tweets_Jadesh_jaga,"They done a great work for exposed him
#KapilExposesKejriwal",great work expose,positive,
tweets_lovelytoofaan,We are so happy to know that Kejriwal is exposed now. #KapilExposesKejriwal,happy know kejriwal expose,positive,
tweets_Akkians_BT,"I really appreciate kapil ji for this. This fraud need to be exposed. 
#KapilExposesKejriwal",really appreciate kapil ji fraud need expose,positive,
tweets_Nainaaxeo9,I am very surprised by this news and very excited to share this with you..for once must check out this #KapilExposesKejriwal,surprised news excite share youfor must check,positive,
tweets__Silpi_,Heard so many things about this incident keep supporting this #KapilExposesKejriwal,heard many thing incident keep support,positive,
tweets_afreenkhan11119,I support kapil always he is very good person who always help poor peoples  #KapilExposesKejriwal,support kapil always good person always help poor people,positive,
tweets_Anuuux2s11,"I'm imparting a valuable things to you
Look at this and grab some valuable information about this #KapilExposesKejriwal",im impart valuable thing look grab valuable information,positive,criticism
tweets_Sipu1_,"Requesting everyone do support this campaign and make it big one
#KapilExposesKejriwal",request everyone support campaign make big,positive,
tweets_SRKsSoniya,I really appreciate kapil for this. He is really honest person #KapilExposesKejriwal,really appreciate kapil really honest person,positive,
